level_0,course,haccuracy,latitude,longitude,speed,time,nickname,At,d,v
37,173.99295,30.486172,41.365064356,2.140959777,1.750075,2018-11-08 06:45:25,mon_0002_peu_2,1.0,3.3093309539471787,3.3093309539471787
38,167.91849,29.745173,41.365035352,2.140968667,1.773389,2018-11-08 06:45:26,mon_0002_peu_2,1.0,3.087263189196591,3.087263189196591
39,168.75778,27.810184,41.36500834,2.140977221,1.76154,2018-11-08 06:45:27,mon_0002_peu_2,1.0,2.7301488321083665,2.7301488321083665
40,163.05434,26.7873,41.364984927,2.140987073,1.73121,2018-11-08 06:45:28,mon_0002_peu_2,1.0,2.4088602957543803,2.4088602957543803
41,164.08827,25.10884,41.364964458,2.140996525,1.68783,2018-11-08 06:45:29,mon_0002_peu_2,1.0,2.297187228699568,2.297187228699568
42,163.13245,22.231245,41.364945442,2.141007283,1.450219,2018-11-08 06:45:30,mon_0002_peu_2,1.0,1.9112656780354762,1.9112656780354762
43,166.79868,20.555187,41.36492963,2.141016263,1.266071,2018-11-08 06:45:31,mon_0002_peu_2,1.0,1.6936059924280262,1.6936059924280262
44,160.80814,20.083422,41.364915674,2.141024391,1.330231,2018-11-08 06:45:32,mon_0002_peu_2,1.0,1.8002137981829518,1.8002137981829518
45,158.86792,19.818703,41.364900949,2.141033357,1.392816,2018-11-08 06:45:33,mon_0002_peu_2,1.0,1.8152811207841235,1.8152811207841235
46,151.3404,19.488808,41.364886801,2.14104421,1.445628,2018-11-08 06:45:34,mon_0002_peu_2,1.0,1.7608743443806094,1.7608743443806094
47,154.52246,18.51716,41.364873075,2.141054733,1.461454,2018-11-08 06:45:35,mon_0002_peu_2,1.0,1.546284069772289,1.546284069772289
48,153.5747,17.736185,41.364860861,2.141063591,1.457737,2018-11-08 06:45:36,mon_0002_peu_2,1.0,1.175032512003341,1.175032512003341
49,153.76147,17.46799,41.364851157,2.141069165,1.235088,2018-11-08 06:45:37,mon_0002_peu_2,1.0,1.1279436625648387,1.1279436625648387
50,165.81778,17.621075,41.364841265,2.141072158,1.091353,2018-11-08 06:45:38,mon_0002_peu_2,1.0,1.299624694561116,1.299624694561116
51,164.79749,18.076475,41.364829797,2.141075164,1.214311,2018-11-08 06:45:39,mon_0002_peu_2,1.0,1.4368532979541828,1.4368532979541828
52,162.25952,17.49826,41.364817135,2.1410786,1.303305,2018-11-08 06:45:40,mon_0002_peu_2,1.0,1.4559375830203312,1.4559375830203312
53,165.32535,17.813831,41.364804188,2.141081203,1.364572,2018-11-08 06:45:41,mon_0002_peu_2,1.0,1.4673239221499295,1.4673239221499295
54,163.15839,17.974865,41.36479123,2.141084527,1.408626,2018-11-08 06:45:42,mon_0002_peu_2,1.0,1.5840478890708338,1.5840478890708338
55,169.31122,18.09724,41.364777026,2.141085978,1.447293,2018-11-08 06:45:43,mon_0002_peu_2,1.0,1.6351367819748002,1.6351367819748002
56,163.37976,18.208752,41.364762409,2.14108812,1.473849,2018-11-08 06:45:44,mon_0002_peu_2,1.0,1.672374438154171,1.672374438154171
57,162.11777,18.379902,41.364747486,2.141090615,1.488397,2018-11-08 06:45:45,mon_0002_peu_2,1.0,1.6284951418894882,1.6284951418894882
58,164.09314,18.51872,41.364732894,2.14109228,1.494829,2018-11-08 06:45:46,mon_0002_peu_2,1.0,1.6228410410195278,1.6228410410195278
59,163.01892,18.502544,41.364718342,2.141093764,1.493655,2018-11-08 06:45:47,mon_0002_peu_2,1.0,1.5720121891900198,1.5720121891900198
60,168.674,18.358788,41.364704213,2.141093113,1.486316,2018-11-08 06:45:48,mon_0002_peu_2,1.0,1.4643386481031502,1.4643386481031502
61,167.2597,18.088324,41.364691062,2.141092193,1.476462,2018-11-08 06:45:49,mon_0002_peu_2,1.0,1.3038736564264441,1.3038736564264441
62,163.26627,17.82476,41.364679336,2.14109222,1.461771,2018-11-08 06:45:50,mon_0002_peu_2,1.0,1.1834054331011545,1.1834054331011545
63,168.54405,17.516495,41.364668718,2.141091256,1.446534,2018-11-08 06:45:51,mon_0002_peu_2,1.0,1.3261430341651674,1.3261430341651674
64,170.89297,16.406828,41.364656805,2.141090506,1.441519,2018-11-08 06:45:52,mon_0002_peu_2,1.0,1.4254259419160236,1.4254259419160236
65,171.5888,16.219385,41.364644067,2.141088587,1.442273,2018-11-08 06:45:53,mon_0002_peu_2,1.0,1.5341958987214637,1.5341958987214637
66,175.50789,16.045444,41.364630452,2.141085608,1.453543,2018-11-08 06:45:54,mon_0002_peu_2,1.0,1.4175567174041046,1.4175567174041046
