,time,level_0,course,haccuracy,latitude,longitude,speed,At,d,v
0,2018-11-08 14:03:33,0.0,294.4334,8.0,41.35264469911818,2.1138922640918083,0.0,1.0,1.0967248401052672,1.0967248401052672
1,2018-11-08 14:03:34,1.0,294.4334,24.0,41.35264763709967,2.1138797212951808,0.0,1.0,1.0568265297516677,1.0568265297516677
2,2018-11-08 14:03:35,2.0,348.52655,12.0,41.35265680071025,2.1138763618655183,0.0,1.0,1.1572136952717598,1.1572136952717598
3,2018-11-08 14:03:36,3.0,348.52655,12.0,41.35266596259927,2.113869785908522,0.0,1.0,4.446178609641522,4.446178609641522
4,2018-11-08 14:03:37,4.0,301.62268,12.0,41.35268668254376,2.1138242281637907,0.0,1.0,0.9608055367108533,0.9608055367108533
5,2018-11-08 14:03:38,5.0,301.62268,12.0,41.3526902535116,2.113813746253161,0.0,1.0,3.7848961925927247,3.7848961925927247
6,2018-11-08 14:03:39,6.0,301.62268,24.0,41.35270649965797,2.11377389966296,0.0,1.0,1.1970406215157139,1.1970406215157139
7,2018-11-08 14:03:40,7.0,333.30222,8.0,41.35271493990029,2.113764997755737,0.0,1.0,1.2506472514392362,1.2506472514392362
8,2018-11-08 14:03:41,8.0,338.93756,12.0,41.352724420690585,2.113756936515636,0.0,1.0,1.067421754535827,1.067421754535827
9,2018-11-08 14:03:42,9.0,338.93756,8.0,41.35273311991652,2.113751529341278,0.0,1.0,1.721054579860689,1.721054579860689
10,2018-11-08 14:03:43,10.0,292.45496,16.0,41.35274069511096,2.113733548572585,0.0,1.0,1.284423522143313,1.284423522143313
11,2018-11-08 14:03:44,11.0,292.45496,8.0,41.352747011318485,2.1137206648240072,0.0,1.0,1.8928646860008602,1.8928646860008602
12,2018-11-08 14:03:45,12.0,312.35004,12.0,41.35275781695584,2.113703141943205,0.0,1.0,1.073678073721507,1.073678073721507
13,2018-11-08 14:03:46,13.0,312.35004,8.0,41.35276421336227,2.113693505954214,0.0,1.0,1.7732619910615366,1.7732619910615366
14,2018-11-08 14:03:47,14.0,315.8877,16.0,41.352774655113485,2.1136774486510315,0.0,1.0,1.964796040969156,1.964796040969156
15,2018-11-08 14:03:48,15.0,328.558,8.0,41.352786017923705,2.1136594220135674,0.0,1.0,1.0578399430366239,1.0578399430366239
16,2018-11-08 14:03:49,16.0,343.68582,8.0,41.35279497227386,2.1136551416098777,0.5500457,1.0,1.4520113415841096,1.4520113415841096
